;Kopfdaten:
Probenname : 2023\ME_a1_F_rig
0.00035969341	-2.9828825E-8	7.1375219E-8	2.4597245E-8	-4.7305139E-8	1.566242E-10	-1.6821342E-9	-1.0625545E-8	-5.549567E-9
0.00040016623	-3.0419989E-8	7.5298653E-8	2.4049025E-8	-4.7889838E-8	1.7683019E-10	-2.3557905E-9	-1.119379E-8	-6.2226599E-9
0.00043963322	-3.1022897E-8	7.9060331E-8	2.3425588E-8	-4.8519053E-8	1.3279639E-10	-3.1138302E-9	-1.1783865E-8	-6.9852344E-9
0.00048019408	-3.1642047E-8	8.2994455E-8	2.285082E-8	-4.9038807E-8	1.3218639E-10	-3.824452E-9	-1.2471885E-8	-7.619989E-9
0.00051966107	-3.2300431E-8	8.6758309E-8	2.2165936E-8	-4.9696264E-8	1.7961328E-10	-4.5045171E-9	-1.3015406E-8	-8.1634709E-9
0.00056022193	-3.2967278E-8	9.0818454E-8	2.163713E-8	-5.0355323E-8	1.6306724E-10	-5.2345562E-9	-1.3666739E-8	-8.9748638E-9
0.00059968892	-3.3653914E-8	9.4609338E-8	2.0965786E-8	-5.0918183E-8	1.5612858E-10	-5.8619771E-9	-1.4201764E-8	-9.6990237E-9
0.00064024978	-3.4272225E-8	9.8523915E-8	2.029471E-8	-5.1622825E-8	1.5166802E-10	-6.5222434E-9	-1.4828449E-8	-1.042124E-8
0.00067971677	-3.4966829E-8	1.0222356E-7	1.9701596E-8	-5.2154698E-8	1.587973E-10	-7.09496E-9	-1.5518146E-8	-1.0987931E-8
0.00072027763	-3.5613888E-8	1.0614035E-7	1.9077472E-8	-5.2809335E-8	1.6447785E-10	-7.9413888E-9	-1.6159117E-8	-1.1685261E-8
0.00075974462	-3.6171196E-8	1.0993654E-7	1.8532341E-8	-5.3400666E-8	1.4678808E-10	-8.6436942E-9	-1.676283E-8	-1.2490061E-8
0.00080030548	-3.691426E-8	1.1389781E-7	1.7845703E-8	-5.3979495E-8	1.5822543E-10	-9.3753737E-9	-1.7348866E-8	-1.3094214E-8
0.00083977247	-3.748861E-8	1.1757779E-7	1.7321665E-8	-5.4510912E-8	1.3790507E-10	-1.0006762E-8	-1.7965646E-8	-1.3856293E-8
0.00088033333	-3.8144401E-8	1.2154776E-7	1.6790227E-8	-5.5182624E-8	1.7549583E-10	-1.06845E-8	-1.8554273E-8	-1.4541276E-8
0.00091980032	-3.8793023E-8	1.2537628E-7	1.6005066E-8	-5.5823578E-8	1.6413473E-10	-1.136117E-8	-1.9109413E-8	-1.5250497E-8
0.00096036118	-3.9376486E-8	1.2935702E-7	1.54697E-8	-5.6480464E-8	1.6707032E-10	-1.2181963E-8	-1.9649314E-8	-1.5917759E-8
0.00099982817	-4.0015615E-8	1.3297367E-7	1.4911448E-8	-5.7084181E-8	1.3710445E-10	-1.2818311E-8	-2.023116E-8	-1.6644739E-8
